date,media_buyer,region,team,ad_spend_usd,result_count,lead_count,platform,cost_per_lead,cost_per_result
2025-05-20,MY,IN,ZZ,2384.96,486.0,127.0,,18.7792126,18.7792126
2025-05-20,HW,IN,ZZ,1019.32,339.0,108.0,,9.438148148,9.438148148
2025-05-20,HY,IN,ZZ,0.0,0.0,3.0,,0.0,0.0
2025-05-20,WD,DE,ZZ,140.51,6.0,0.0,,,
2025-05-20,YK,DE,ZZ,234.67,7.0,1.0,,234.67,234.67
2025-05-20,LYD,MY,ZZ,159.12,3.0,0.0,,,
2025-05-20,XW,MY,UNKNOWN,181.54,3.0,1.0,,181.54,181.54
2025-05-21,YJ,IN,ZZ,4627.96,1100.0,307.0,,15.07478827,15.07478827
2025-05-21,HY,IN,ZZ,13466.09,2748.0,1137.0,,11.84352682,11.84352682
2025-05-21,SG,IN,ZZ,11192.3,2316.0,853.0,,13.12110199,13.12110199
2025-05-21,YK,DE,ZZ,310.37,12.0,4.0,,77.5925,77.5925
2025-05-21,MY,IN,ZZ,8226.54,1551.0,576.0,,14.2821875,14.2821875
2025-05-21,HW,IN,ZZ,5618.51,1304.0,498.0,,11.28214859,11.28214859
2025-05-21,WD,DE,ZZ,119.54,4.0,0.0,,,
2025-05-21,LYD,MY,ZZ,136.67,3.0,0.0,,,
2025-05-21,XW,MY,UNKNOWN,160.61,1.0,0.0,,,
2025-05-21,ZYH,DE,ZZ,87.71,2.0,1.0,,87.71,87.71
2025-05-21,ZJ,DE,ZZ,73.35,4.0,0.0,,,
2025-05-22,XC,MY,UNKNOWN,106.61,11.0,0.0,,,
2025-05-22,YK,MY,ZZ,165.39,3.0,0.0,,,
2025-05-22,WD,MY,ZZ,25.98,1.0,0.0,,,
2025-05-22,YK,DE,ZZ,121.97,7.0,0.0,,,
2025-05-22,MY,IN,ZZ,9302.8,2106.0,736.0,,12.63967391,12.63967391
2025-05-22,YJ,IN,ZZ,5970.4,1230.0,413.0,,14.45617433,14.45617433
2025-05-22,ZYH,DE,ZZ,14.17,0.0,0.0,,,
2025-05-22,SG,IN,ZZ,14319.57,3214.0,1350.0,,10.60708889,10.60708889
2025-05-22,HW,IN,ZZ,8495.79,1700.0,789.0,,10.76779468,10.76779468
2025-05-22,HY,IN,ZZ,8199.92,1419.0,535.0,,15.32695327,15.32695327
2025-05-22,XW,MY,UNKNOWN,243.81,5.0,0.0,,,
2025-05-22,WD,DE,ZZ,101.08,4.0,1.0,,101.08,101.08
2025-05-22,LYD,MY,ZZ,154.04,4.0,1.0,,154.04,154.04
2025-05-22,ZJ,DE,ZZ,43.51,1.0,1.0,,43.51,43.51
2025-05-23,XF,MY,UNKNOWN,163.76,2.0,0.0,,,
2025-05-23,MY,IN,ZZ,0.0,0.0,26.0,,0.0,0.0
2025-05-23,SG,IN,ZZ,3742.68,684.0,272.0,,13.75985294,13.75985294
2025-05-23,YJ,IN,ZZ,1601.68,292.0,73.0,,21.94082192,21.94082192
2025-05-23,HY,IN,ZZ,525.75,314.0,111.0,,4.736486486,4.736486486
2025-05-23,HW,IN,ZZ,1380.49,302.0,105.0,,13.14752381,13.14752381
2025-05-23,XW,MY,UNKNOWN,227.31,10.0,0.0,,,
2025-05-23,LYD,MY,ZZ,49.69,2.0,1.0,,49.69,49.69
2025-05-23,ZJ,DE,ZZ,46.46,3.0,1.0,,46.46,46.46
2025-05-24,SG,IN,ZZ,639.82,103.0,27.0,,23.69703704,23.69703704
2025-05-24,XF阿飞,MY,UNKNOWN,469.7,15.0,1.0,,469.7,469.7
2025-05-24,LYD,MY,ZZ,482.08,9.0,0.0,,,
2025-05-24,HY,IN,ZZ,8114.46,1686.0,577.0,,14.06318891,14.06318891
2025-05-24,YJ,IN,ZZ,4563.8,962.0,305.0,,14.96327869,14.96327869
2025-05-24,WD,MY,ZZ,129.02,11.0,2.0,,64.51,64.51
2025-05-24,HW,IN,ZZ,2066.47,490.0,162.0,,12.75598765,12.75598765
2025-05-24,XW,MY,UNKNOWN,201.83,8.0,0.0,,,
2025-05-24,WD,DE,ZZ,131.02,13.0,0.0,,,
2025-05-24,ZYH,DE,ZZ,122.2,2.0,0.0,,,
2025-05-24,YK,MY,ZZ,187.93,3.0,1.0,,187.93,187.93
2025-05-24,YK,DE,ZZ,191.85,10.0,1.0,,191.85,191.85
2025-05-24,XW,DE,UNKNOWN,21.83,0.0,0.0,,,
2025-05-25,XF阿飞,MY,UNKNOWN,579.92,10.0,3.0,,193.3066667,193.3066667
2025-05-25,LYD,MY,ZZ,70.44,3.0,0.0,,,
2025-05-25,WD,MY,ZZ,182.88,13.0,2.0,,91.44,91.44
2025-05-25,HY,IN,ZZ,4259.43,937.0,426.0,,9.998661972,9.998661972
2025-05-25,YJ,IN,ZZ,4928.4,860.0,303.0,,16.26534653,16.26534653
2025-05-25,HW,IN,ZZ,6105.6,1296.0,560.0,,10.90285714,10.90285714
2025-05-25,XW,MY,UNKNOWN,369.64,11.0,3.0,,123.2133333,123.2133333
2025-05-25,XW,DE,UNKNOWN,112.45,2.0,0.0,,,
2025-05-25,WD,DE,ZZ,55.32,3.0,0.0,,,
2025-05-25,ZYH,DE,ZZ,79.03,2.0,0.0,,,
2025-05-26,WD,MY,ZZ,161.44,7.0,3.0,,53.81333333,53.81333333
2025-05-26,XF阿飞,MY,UNKNOWN,525.72,14.0,3.0,,175.24,175.24
2025-05-26,XW,MY,UNKNOWN,118.13,4.0,0.0,,,
2025-05-26,HW,IN,ZZ,4950.86,1200.0,411.0,,12.04588808,12.04588808
2025-05-26,YJ,IN,ZZ,3648.07,820.0,197.0,,18.51812183,18.51812183
2025-05-26,XC,MY,UNKNOWN,272.46,12.0,0.0,,,
2025-05-26,YK,DE,ZZ,200.13,8.0,4.0,,50.0325,50.0325
2025-05-26,HY,IN,ZZ,5493.02,1112.0,472.0,,11.63775424,11.63775424
2025-05-26,WD,DE,ZZ,55.82,1.0,0.0,,,
2025-05-26,ZYH,DE,ZZ,113.5,1.0,0.0,,,
2025-05-26,LYD,MY,ZZ,96.28,6.0,0.0,,,
2025-05-26,ZJ,DE,ZZ,68.73,3.0,0.0,,,
2025-05-27,SG,MY,ZZ,74.79,3.0,0.0,,,
2025-05-27,WD,MY,ZZ,218.3,12.0,0.0,,,
2025-05-27,XF阿飞,MY,UNKNOWN,197.82,8.0,1.0,,197.82,197.82
2025-05-27,MY,MY,ZZ,47.25,2.0,0.0,,,
2025-05-27,YJ,IN,ZZ,2008.15,514.0,152.0,,13.21151316,13.21151316
2025-05-27,HY,IN,ZZ,9913.14,1952.0,761.0,,13.02646518,13.02646518
2025-05-27,HW,IN,ZZ,5682.19,1300.0,489.0,,11.62002045,11.62002045
2025-05-27,XC,MY,UNKNOWN,161.63,12.0,1.0,,161.63,161.63
2025-05-27,YK,DE,ZZ,605.44,16.0,5.0,,121.088,121.088
2025-05-27,ZJ,DE,ZZ,82.92,9.0,2.0,,41.46,41.46
2025-05-28,WD,MY,ZZ,126.2,11.0,3.0,,42.06666667,42.06666667
2025-05-28,SG,MY,ZZ,268.42,10.0,4.0,,67.105,67.105
2025-05-28,HW,IN,ZZ,7314.37,1400.0,576.0,,12.69855903,12.69855903
2025-05-28,HY,IN,ZZ,6739.18,1645.0,554.0,,12.16458484,12.16458484
2025-05-28,YJ,IN,ZZ,5174.0,930.0,413.0,,12.52784504,12.52784504
2025-05-28,YK,DE,ZZ,704.16,18.0,2.0,,352.08,352.08
2025-05-28,ZJ,DE,ZZ,41.11,3.0,0.0,,,
2025-05-29,XW,MY,UNKNOWN,149.41,6.0,3.0,,49.80333333,49.80333333
2025-05-29,WD,MY,ZZ,518.23,28.0,3.0,,172.7433333,172.7433333
2025-05-29,HY,IN,ZZ,1864.21,346.0,147.0,,12.68170068,12.68170068
2025-05-29,HW,IN,ZZ,4105.51,735.0,308.0,,13.32957792,13.32957792
2025-05-29,YJ,IN,ZZ,3549.91,750.0,290.0,,12.24106897,12.24106897
2025-05-29,YK,DE,ZZ,332.44,13.0,0.0,,,
2025-05-28,AL,MY,UNKNOWN,46.6,4.0,0.0,,,
2025-05-29,AL,MY,UNKNOWN,126.31,8.0,2.0,,63.155,63.155
2025-05-30,WD,DE,ZZ,23.31,0.0,0.0,,,
2025-05-30,HW,IN,ZZ,5893.85,1200.0,530.0,,11.1204717,11.1204717
2025-05-30,HY,IN,ZZ,6538.8,1445.0,542.0,,12.06420664,12.06420664
2025-05-30,YJ,IN,ZZ,8033.85,1480.0,506.0,,15.87717391,15.87717391
2025-05-30,YK,DE,ZZ,478.27,21.0,3.0,,159.4233333,159.4233333
2025-05-31,YJ,IN,ZZ,118.59,23.0,0.0,,,
2025-05-31,HY,IN,ZZ,4379.89,576.0,245.0,,17.87710204,17.87710204
2025-05-31,ZYH,DE,ZZ,89.68,1.0,1.0,,89.68,89.68
2025-05-31,YK,DE,ZZ,346.09,16.0,4.0,,86.5225,86.5225
