日期,地区,投手,账户名称/ID,账户种类,代理商,转点截图Today MAX,转点截图yesterday MAX,备注,手续费,实际消耗,"包含手续费
的消耗",开户费
2025-08-01,印度,SG,GAAUS-LY-375  4228148210748565,美金户,凤凰&洛阳,7581.83,4079.42,,525.3615,3502.41,4027.7715,
2025-08-01,印度,HY,CN - Rosie 1  269887998456727,印度企业户,深圳芳林子,21329.57,20896.84,,74.256468,432.73,506.986468,
2025-08-01,印度,HY,GAAUS-LY-369  1954763398598009,美金户,凤凰&洛阳,52456.48,47887.86,,685.293,4568.62,5253.913,
2025-08-01,印度,SG,GAAUS-LY-219  2119386791910117,美金户,凤凰&洛阳,389.77,,,58.4655,389.77,448.2355,
2025-08-01,印度,SG,CN - RR 2  426415319138246,军工企业户,深圳芳林子,10603.25,9898.17,,120.991728,705.08,826.071728,
2025-08-01,意大利,YJ,GAAUS-LY-372  567761519708719,美金户,凤凰&洛阳,5437.05,4930.77,,75.942,506.28,582.222,
2025-08-01,意大利,YJ,GAAUS-LY-259  1388514002200302,美金户,凤凰&洛阳,191.5,,,28.725,191.5,220.225,
2025-08-01,意大利,YJ,WBD 02 INR - D013  1563584101283980,印度企业户,海总新渠道,61.196625,,,6.73162875,61.196625,67.92825375,
2025-08-01,意大利,HW,GAAUS-LY-305  4099799743588524,美金户,凤凰&洛阳,4745.66,3401.12,,201.681,1344.54,1546.221,
2025-08-01,印度,MY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,49021.28613,48932.28331,,7.120225,89.0028125,96.1230375,
2025-08-02,印度,SG,GAAUS-LY-375  4228148210748565,美金户,凤凰&洛阳,12653.17,7581.83,,760.701,5071.34,5832.041,
2025-08-02,印度,HY,CN - Rosie 1  269887998456727,印度企业户,深圳芳林子,21329.57,21329.57,,0,0,0.0,
2025-08-02,印度,HY,GAAUS-LY-369  1954763398598009,美金户,凤凰&洛阳,58133.99,52456.48,,851.6265,5677.51,6529.1365,
2025-08-02,印度,SG,GAAUS-LY-219  2119386791910117,美金户,凤凰&洛阳,389.77,389.77,,0,0,0.0,
2025-08-02,印度,SG,CN - RR 2  426415319138246,军工企业户,深圳芳林子,11404.19,10603.25,,137.441304,800.94,938.381304,
2025-08-02,意大利,YJ,GAAUS-LY-372  567761519708719,美金户,凤凰&洛阳,5833.42,5437.05,,59.4555,396.37,455.8255,
2025-08-02,意大利,YJ,GAAUS-LY-259  1388514002200302,美金户,凤凰&洛阳,558.48,191.5,,55.047,366.98,422.027,
2025-08-02,意大利,YJ,WBD 02 INR - D013  1563584101283980,印度企业户,海总新渠道,61.196625,61.196625,,0,0,0.0,
2025-08-02,意大利,HW,GAAUS-LY-305  4099799743588524,美金户,凤凰&洛阳,5748.84,4745.66,,150.477,1003.18,1153.657,
2025-08-02,印度,MY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,49234.15219,49021.28613,,17.029285,212.8660625,229.8953475,
2025-08-02,意大利,YK,GAAUS-LY-389  4357760397792421,美金户,凤凰&洛阳,3832.93,3630.45,,30.372,202.48,232.852,
2025-08-02,意大利,YJ,G-U-0711-Mobidata-01  2149142772254174,美金户,启航,528.29,,,69.37141414,528.29,597.6614141,
