12月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,12月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 20
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
渠道商,总转款,已退款,未退款,最终款,备注,手续费,,,渠道商,已减去手续费的充值,SG总消耗,SZ月总消耗,当天剩余广告费,日期,
账单户广告费,8001.49,,,8001.49,,120,,,账单户广告费,13679.16,8746.24,,4932.92,2025-01-01 00:00:00,
启航广告费,257000,,,257000,,32380.27,,,启航广告费,231526.5169,172051.27,4189.54,55285.7069,2025-01-01 00:00:00,
十月二不限-泰华,0,,,0,,0,,,十月二不限-泰华,8237.12,83.41,2856.45,5297.26,2025-01-01 00:00:00,
GT美国,104401.3511,,,104401.3511,,10432.94,,,GT美国,125747.2911,58538.08,29955.64,37253.5711,2025-01-01 00:00:00,
GT欧洲,46570.71,,,46570.71,,3180.26,,,GT欧洲,41278.39452,28370.49,4881.97,8025.934524,2025-01-01 00:00:00,
GT&Shen (井号户）,15920,,,15920,,4840,,,GT&Shen (井号户）,11080,26067.49,0,-14987.49,2025-01-01 00:00:00,
金融户印度-泰华Jennie,234.01,187.2,,46.81,1月退了187.2,23,,,金融户印度-泰华Jennie,2566.53,1881.77,450.75,234.01,2025-01-01 00:00:00,金融户印度-泰华Jennie
凤凰&洛阳11月,302571.76,,,302571.76,,34726.17,,,凤凰&洛阳11月,267845.59,189406.2,26692.08,51747.31,2025-01-01 00:00:00,
深圳芳林子@SHEN 户,263002.55,,,263002.55,,26276.58,,,深圳芳林子@SHEN 户,260687.98,204221.58,47686.59,8779.81,2025-01-01 00:00:00,
FA-泰华印度1016（A-JIE）,550,550,,0,,0,,,FA-泰华印度1016（A-JIE）,0,0,0,0,2025-01-01 00:00:00,
开户美国三不限户-Daisy,1165,998,,167,扣了2U手续费,165,,,开户美国三不限户-Daisy,2,0,0,0,2025-01-01 00:00:00,
,,,,997681.6711,,112144.22,885537.4511,,,,,,,,
,,,,,,,,,,,,,156569.0325,,
,总转款,已退款,未退款,最终款,备注,手续费,,,,,,,,,
广告配套,3391.22,,,3391.22,,,,,,待清零金额,,,,,
张总垫付,95000,,,95000,,,,,启航广告费,55285.7069,,,,,
印度测试,23782,,,23782,,,,,十月二不限-泰华,5297.26,,,,,
,,,,122173.22,,,,,GT美国,37253.5711,,,,,
,,,,,,,,,GT欧洲,8025.934524,,,,,
后勤支出,335393.47,,,335393.47,,,,,GT&Shen (井号户）,-14987.49,,,,,
,,,,335393.47,,,,,金融户印度-泰华Jennie,234.01,,,,,
,,,,,,,,,凤凰&洛阳11月,12312,不含20%待确认的清零,,,,
,,,,,,,,,,,,,,,
,总转款,已退款,未退款,最终款,备注,地区,,,,,,,,,
退款土耳其张总股票粉12/8,,5200,,5200,,,,,,,,,,,
土耳其介绍费,6440,,,6440,,,,,,103420.9925,,,,,
,,,,11640,,,,,,,,,,,
,,,,,,,,,,,,,,,
