地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14
,华侨老头粉,工单,,,,,,,,,新拉这个华侨粉是按照消耗结算的 20%消耗,,,
,印度资金测试,https://docs.google.com/spreadsheets/d/1lRmVSNE0Kx_UgYUW1lJ3-TtRpudO2bEzv_vo0483nRo/edit?gid=0#gid=0,,245,,20000,31,7595,0.0,12405,"印度资金测试总转款20,000，总有效245，20000-245*31=12405",10/19 已退,,
,F2新加坡,,,,,,,,,,,,,
,韩国资金盘,,,,,0,,,,,,,,
,巴西1期,,,,,0,,,,,,,,
,渠道106-不土FB🇯🇵/渠道106-日本FB,,,,,,,,,,12/17晚上七点换群,,,
,F2加拿大TK,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,"申报30,000广告费 ，TPcJKnP3ZggQJaPRtTHQUeGKb4hPaG63ZW，地址不变，转了麻烦发下截图",,,
,加拿大 Tk，当日有效15个及以内，单价100，有效15-30，超过15个部分单价120，有效30个以上，超过30个部分单价130,,,,,,,,,,,,,
,新加坡上量政策 有效10个及以内单价100，有效10-20，超过10个部分单价110，有效20以上，超过20部分单价120,,,,,,,,,,,,,
,甲方,人数,单价,总打款,剩余广告费,,,,,,核对总有效都让WXR去弄，再发账单,,,
上30个一天按照130,海总-新加坡、加拿大,218.55,100,49055,-8305,共用余额,海总-新加坡、加拿大,剩余广告费,-8305.0,,,,,
单天超20个，单价115，上30个一天按照130,海总-新加坡、加拿大,53,115,49055,-8305,,,,,,,,,
,海总-新加坡、加拿大,125,120,49055,-8305,,,,,,,,,
,海总-新加坡、加拿大,102,130,49055,-8305,,,,,,,,,
,海总-美国、爱尔兰,10,115,49055,-8305,,,,,,,,,
,F2新加坡,77,120,14400,5160,,,,,,,,,
,F2新加坡,48,130,11660,5420,,F2新加坡,剩余广告费,5420.0,,,,,
,华侨老头粉,,,2200,打消耗,,,,,,,,,
,渠道106-不土FB🇯🇵,428,180,72000,-5040,-28,渠道106-不土FB🇯🇵,剩余广告费,-5040.0,,,,,
,印度资金测试,3834.37,,16996.57,13162.2,,,,,,,,,
,F2加拿大TK,3,130,3900,3510,27,,,,,,,,
,巴西1期,,40,3200,3200,80,,,,,,,,
,,,,,,,,,,,,,,
F2新加坡,12/5 有效5,5,渠道106-不土FB🇯🇵/渠道106-日本FB,12/12 有效27,27,,,,,,,,,
,12/8 有效3,3,12/11 开始,12/13 有效30,30,,,,,,,,,
,12/10 有效2,2,,12/14 有效55,55,,,,,,,,,
,12/11  有效16,16,,12/15 有效78,78,,,,,,,,,
,12/12 有效22,22,,12/16 有效98,98,,,,111.0,,,,,
,12/13 有效23,23,预付申报,12/17 有效77,77,,,,94.0,日本 FB人设,剩余广告费,10760,,
,12/14 有效6,6,,12/18 有效63,63,,,,,渠道BF 德国F,剩余广告费,4320,11/6已退,
新加坡后边按照130结算,12/16  有效6,6,日期：12.15,,,,,,,,,,,
,12/17 有效23,23,用途：F2加拿大TK,,,,,,,,合计,15080,,
,12/18 有效19,19,单价：$130,,,,,,,,,,,
,,,预付：30个,,,,,,,,,,,
,,,金额：130*30=3900,,,,,,,,,,,
,,,地址：TPcJKnP3ZggQJaPRtTHQUeGKb4hPaG63ZW,,,,,,,海总-新加坡、加拿大,12.1 加拿大有效1,1,1*100=100,
F2加拿大TK,12/16 有效1,1,,,,,,,,,12.1新加坡有效4个,4,*100,
,12/17 有效2,2,地址防盗验证：,,,,,,,,12.2 加拿大有效3个,3,*100,
,,,抬头TPcJK,,,,,,,,12.3新加坡有效3个,3,*100,
,,,中段PRtTHQ,,,,,,,,12.4 新加坡有效3个,3,*100,
,,,尾号G63ZW,,,,,,,,12.4 加拿大有效1,1,*100,
,,,转了麻烦发下截图,,,,,,,,12.5新加坡有效2个,2,*100,
,,,,,,,,,,,12.5 加拿大有效5个,5,*100,
,,,,,,,,,,,12.6 新加坡有效1个,1,*100,
,,,,,,,,,,,12.7 加拿大有效9个,9,*100,
,F2新加坡,,,,,,,,,,12.7新加坡有效1个,1,*100,
,,,,,,,,,,,12.7新加坡有效28个,28,28*115=3220,TK加拿大 上20个一天按照115 上30个一天按照130
,12/18 累计转款： $14400,,,,,,,,,,12.8新加坡有效2个,2,2*100=200,单天超20个，单价115，上30个一天按照130
,,,,,,,,,,,12.8 加拿大有效25个,25,25*115=2875,单天超20个，单价115，上30个一天按照130
