日期,投手,账户,充值金额,户商清零金额,提交清零金额,转移金额,结算,备注,开户充值手续费,Unnamed: 10,付款时间,付款金额,充值金额.1,手续费,备用金,付款截图,Unnamed: 17
2025-12-03,LD,Jokepro-ADA+7-QQB-03  4166924866904260,10,,,,,总充值10,0.7,,总计,3679.96,,2464.8,,,
2025-12-03,YK,SONZDD-ADA+7-GX- 336  285143393646678,100,0,0,,已结算12/6,总充值110,10.0,,,,,,,,
2025-12-04,,,,,,,,,,"SON：(246.87)*1.1-开户费60=211.557
MATER：(-418.01+81.16+10)*1.07-300-250-250=-1149.729",,,,,,,
2025-12-04,HY,Matepro-ADA+7-QQB-672  1251262999930791,开户费,,停用,,/,/,50.0,"SON：(246.87-200)*1.1-开户费60=-8.44
MATER：(-418.01+81.16+10-20)*1.07-300-250-250-100=-1271.13
总：-8.44-1271.13=-1279.57",,,,,,,
2025-12-04,YJ,Matepro-ADA+7-QQB-673  694467656845796,开户费,,停用,,/,/,50.0,,,,,,,,
2025-12-04,HY,Matepro-ADA+7-QQB-672  1251262999930791,10,0,0,,已结算12/15,总充值10,0.7,,,,,,,,
2025-12-04,YJ,Matepro-ADA+7-QQB-673  694467656845796,10,0,0,,已结算12/10,总充值10,0.7,,,,,,,,
2025-12-04,HY,SONZDD-ADA+7-GX- 333  666999407790336,200,0,0,,已结算12/6,总充值310,20.0,,,,,,,,
2025-12-04,HY,SONZDD-ADA+7-GX- 333  666999407790336,200,-269.73,275.55076,,已结算12/6,总充值510,20.0,"SON/GO：(-430-SZ200-10+5号清零86.97+6号清零890.03)*1.1-开户费90-30=250.70
MA：(清零9.97-20-20+6号清零56.81)*1.07-开户费100-100=-171.345
",,,,,,,
2025-12-05,YK,SONZDD-ADA+7-GX- 336  285143393646678,200,-251.61,251.70336,,已结算12/6,总充值310,20.0,,,,,,,,
2025-12-05,HY,Matepro-ADA+7-QQB-689  1144451290944237,开户费,,停用,,/,,50.0,,,,,,,,
2025-12-05,LM,Matepro-ADA+7-QQB-688  3823629751267476,开户费,,停用,,/,,50.0,,,,,,,,
2025-12-05,HY,Matepro-ADA+7-QQB-689  1144451290944237,10,-9.7,9.71,,已结算12/9,总充值10,0.7,,,,,,,,
2025-12-05,LM,Matepro-ADA+7-QQB-688  3823629751267476,10,-7.4,7.4,,已结算12/9,总充值10,0.7,,,,,,,,
2025-12-05,YK,SONZDD-ADA+7-GX-345  657087642139726,开户费,,停用,,/,,30.0,,,,,,,,
2025-12-05,SZ1-ZQ,SONZDD-ADA+7-GX-347  2091387551018117,开户费,,,,,,30.0,,,,,,,,
2025-12-05,JK,SONZDD-ADA+7-GX-346  663517608156247,开户费,,,,,,30.0,,,,,,,,
2025-12-05,YK,SONZDD-ADA+7-GX-345  657087642139726,10,0,0,,已结算12/8,总充值10,1.0,,,,,,,,
2025-12-05,SZ1-ZQ,SONZDD-ADA+7-GX-347  2091387551018117,10,,3.98848,,,总充值10,1.0,,,,,,,,
2025-12-05,JK,SONZDD-ADA+7-GX-346  663517608156247,10,,,,,总充值10,1.0,,,,,,,,
2025-12-06,YK,SONZDD-ADA+7-GX-352  1353385945103386,开户费,,停用,,/,,30.0,,,,,,,,
2025-12-06,YK,SONZDD-ADA+7-GX-352  1353385945103386,10,0,0,,已结算12/13,总充值10,0.7,,,,,,,,
2025-12-06,YK,Matepro-ADA+7-QQB-695  2518148615245256,开户费,,停用,,/,,50.0,,,,,,,,
2025-12-06,YK,Matepro-ADA+7-QQB-696  2176891486121642,开户费,,停用,,/,,50.0,,,,,,,,
2025-12-06,YK,Matepro-ADA+7-QQB-695  2518148615245256,10,0,0,,已结算12/9,总充值10,0.7,,,,,,,,
2025-12-06,YK,Matepro-ADA+7-QQB-696  2176891486121642,10,0,0,,已结算12/9,总充值10,0.7,,,,,,,,
2025-12-07,YK,SONZDD-ADA+7-GX-345  657087642139726,100,-100,100,,已结算12/8,总充值110,10.0,"SON/GO：(337-300+8号清零100)*1.1-开户费120=30.7
MA：(26.78-300)*1.07-开户费200=-492.35
",,,,,,,
2025-12-08,YK,Matepro-ADA+7-QQB-695  2518148615245256,100,-35.47,38.01,,已结算12/9,总充值110,10.0,,,,,,,,
2025-12-08,YK,Matepro-ADA+7-QQB-696  2176891486121642,100,-31.56,33.67,,已结算12/9,总充值110,10.0,,,,,,,,
2025-12-08,YK,SONZDD-ADA+7-GX-352  1353385945103386,100,-79.57,79.76004,,已结算12/13,总充值110,7.0,,,,,,,,
2025-12-08,YJ,Matepro-ADA+7-QQB-673  694467656845796,100,-57.57,59.47,,已结算12/10,总充值110,7.0,,,,,,,,
2025-12-08,LD,SONZDD-ADA+7-GX- 332  880299889307472,100,-100.02,100.0202,,已结算12/9,总充值110,10.0,,,,,,,,
