地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14
印度,印度25期 7/28,https://docs.google.com/spreadsheets/d/12nr3j7XoX-dHiPGy9XL7cpewSBsny2qn3c1nC0LVoho/edit?usp=drivesdk,49686.75,2926,16.98111757,80000,28,81928,-1928,0,"印度25期总转款80,000，总有效2926，80,000-2926*28=-1928，TPcJKnP3ZggQJaPRtTHQUeGKb4hPaG63ZW，转了麻烦发下截图",8/6已结清,,
印度,波贝6期,https://docs.google.com/spreadsheets/d/12r2Py_onyL8o0DyksZQIlpQ0vLLHj1HbBkYG3GW-C9w/edit?usp=drivesdk,27311.83,1294,21.10651468,30000,28,36232,-6232,0,"波贝6期总转款30,000，总有效1294，30000-1294*28=-6232",8/11 已结清,,
印度,B1印度,https://docs.google.com/spreadsheets/d/1gO27b_tOKxf1U2ekq55JZHhY3PqzmZgYskeTf7SoLdg/edit?gid=0#gid=0,57511.94,2712,21.20646755,100000,28,75936,0,24064,"B1印度总转款100,000，总有效2712，100,000-2712*28=24,064，8/12已退24,064",8/12 已核对,,
印度,印度15期,https://docs.google.com/spreadsheets/d/11I3jbCoOWI4pnXYAb29GBxEBUcSYImDsJ4wOhl6-Zqg/edit?usp=drivesdk,30527.03,1369,22.29878013,39144,28,38332,812,0,"印度15期总有效1369，0-1369*28= -38,332，14期补粉收到16772，15期补粉收到22372",8/5已结清,,
印度,印度16期,https://docs.google.com/spreadsheets/d/19IWxncGpuEDxi_l9L27n5Dl8rf_kySAYTefx9aYBJWA/edit?gid=0#gid=0,25844.56,1086,23.79793738,30000,28,30408,-408,0,"印度16期总转款30,000，总有效1086，30000-1086*28=-408",8/23 已结清,,
印度,印度23期,https://docs.google.com/spreadsheets/d/105MztGLQTYVapgzOmEdjmq-hIhkPzWjFOIuXFFpdjWA/edit?gid=0#gid=0,27942.58,1355,20.62183026,50000,28,37940,0,12060,"印度23期总转款50,000，总有效1355，50000-1355*28=12060，8/26已退",8/26已退,,
印度,拉总（印度）24/德国135,无,3339.63,159,21.00396226,3816,24,3816,0,0,,,,
印度,印度17期,https://docs.google.com/spreadsheets/d/1eUc8od8G9BkUo5EshOsFK_5NE-B1nnijnN2JQw55Z4I/edit?gid=0#gid=0,9195.95,367,25.05708447,30000,28,10276,0,19724,,,,
意大利,意大利3期,https://docs.google.com/spreadsheets/d/1kd_-E-8GBpatDp9ZVlqcN7hk0f76fOBZdzT85ZMoKGE/edit?gid=0#gid=0,36858.24,488,75.52918033,80000,130,59715,0,20285,7月总有效252，8月总有效236，8/11开始，单价是130,,,
意大利,2009意大利,无,2663.1,16.5,161.4,0,120,1980,0,0,广告费是意大利3期一起出,,,
