2025年11月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,2025年11月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
渠道商,总转款,已退款,未退款,最终款,备注,手续费,扣手续费后的充值,,渠道商,已减去手续费的充值,总消耗,当天剩余广告费,日期,
凤凰渠道-泰华,2220,,,2220,,3227,-1007,,印度户印尼企业户,1096.56,6328.65,-5232.09,2025-12-02 00:00:00,
wade shen 美金谷歌户25+5%,633.93,,,633.93,,57.63,576.3,,Vcc-102524 服务费1（泰华）,1041.85,834.77,207.08,2025-12-02 00:00:00,
二不限企业户,1414.78,,,1414.78,,34.51,1380.27,,凤凰渠道-泰华,19738.99,3319.9800000000027,16419.01,2025-12-02 00:00:00,
星链-AdNova,25845.8718,,,25845.8718,,3673.77,22172.1018,,启航,3484.18,2653.349999999999,830.83,2025-12-02 00:00:00,
GT&SHEN 欧洲户新,218,,,218,,18,200,,二不限企业户,1425.14,1708.0400000000004,-282.9,2025-12-02 00:00:00,
fb三不限10➕1Nancy,5394.88,,,5394.88,,577.93,4816.95,,Y-5208 FB欧/美户,5618.65,1101.5152,4517.1348,2025-12-02 00:00:00,
GT&papa 二不限新,312,,,312,,12,300,,SHEN@FLZ 2 群,3943.305,282.68,3660.625,2025-12-02 00:00:00,
GT&SHEN 谷歌原生账单户,50,,,50,,50,0,,十月二不限,555.74,499.91999999999996,55.82,2025-12-02 00:00:00,
路人互动,5809.98,,,5809.98,,940.84,4869.14,,海总-黑泽,6037.247497,2434.91772,3602.329777,2025-12-02 00:00:00,
启航,4633.29,,,4633.29,,633.1,4000.19,,谷歌-饭团,1120.092,297.2299999999999,822.862,2025-12-02 00:00:00,
Y-5208 FB欧/美户,4335.69,,,4335.69,,775.8,3559.89,,星链-AdNova,22672.1018,20792.72,1879.3818,2025-12-02 00:00:00,谷歌-otto
海总新渠道,1665,,,1665,,165,1500,,GT&SHEN 欧洲户新,357.92,43.830000000000005,314.09,2025-12-02 00:00:00,
GT&海总 欧洲金融户,387.63,,,387.63,,35.24,352.39,,GT&papa 二不限新,286.22,486.47,-200.25,2025-12-02 00:00:00,
海总-黑泽,3720.187497,,,3720.187497,,979.68,2740.507497,,fb三不限10➕1Nancy,4816.95,3030.4900000000002,1786.46,2025-12-02 00:00:00,
志诚三不限,4652.83,,,4652.83,,815.95,3836.88,,路人互动,4869.14,3447.57,1421.57,2025-12-02 00:00:00,
SZ_TK下户Chris Ryan,6107.85,,,6107.85,,642.45,5465.4,,海总新渠道,1500,11.899999999999999,1488.1,2025-12-02 00:00:00,
TK下户hailey,255,,,255,,255,0,,GT&海总 欧洲金融户,352.39,390.65,-38.26,2025-12-02 00:00:00,
大鱼速汇,808,,,808,,8,800,,志诚三不限,3836.88,1566.4992000000002,2270.3808,2025-12-02 00:00:00,
