11月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,11月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
渠道商,总转款,已退款,未退款,最终款,备注,手续费,,,渠道商,已减去手续费的充值,SG总消耗,SZ月总消耗,当天剩余广告费,日期,
账单户广告费,40004.98,,,40004.98,,615,,,账单户广告费,42535.68,36738.01,,5797.67,2024-12-01 00:00:00,
启航广告费,305000,,,305000,,32539.63,,,启航广告费,281972.6469,234101.72,40964.14,6906.7869,2024-12-01 00:00:00,
印度企业户100u➕14%扎克伯克,3626.986,1831.59,,1795.396,"已退款剩余，9+10月总转款$2,486.99",612.09,,,印度企业户100u➕14%扎克伯克,1183.306,0,1183.41,0,2024-12-01 00:00:00,"消耗没对上，消耗只有$779.20，实际是$1,183.31"
十月二不限-泰华,25592,,,25592,,360.35,,,十月二不限-泰华,43182.42,5431.76,29513.54,8237.12,2024-12-01 00:00:00,
GT井号户,22800,,,22800,其中14000充不上的转美国户，11300/1.14=10000,4563.06,,,GT井号户,18236.94,16525.69,759.75,951.5,2024-12-01 00:00:00,转入LT美户2624/1.02*0.84=2160.94
GT美国,223906.94,,,223906.94,,23502.57,,,GT美国,216596.98,108950.89,75867.21,31778.88,2024-12-01 00:00:00,
GT欧洲,54636.06,,,54636.06,,14476.77,,,GT欧洲,56470.82452,22399.52,36183.36,-2112.055476,2024-12-01 00:00:00,美户转欧户4000/1.04*0.84=3230.77；5515/1.04*0.84=4454.42大白户转入，台湾户转入欧洲户899.96/1.04*0.84=726.89
GT台湾,0,,,0,,0,,,GT台湾,5686.48,108.8,343.94,5233.74,2024-12-01 00:00:00,"shen台湾户转入美国户4060/1.1=3,690.91;;;台湾户转入欧洲户899.96/1.04*0.84=726.89"
金融户印度-泰华Jennie,10875.27,,,10875.27,,1700,,,凤凰&洛阳&15+1（1200）&8+1（60）,306155.4522,129917.85,156753.25,19484.35216,2024-12-01 00:00:00,实际上应该只有1W多
凤凰&洛阳11月,302571.76,,,302571.76,,36046.17,266525.59,,BM户测试大白&,14844.97,0,0,14844.97,2024-12-01 00:00:00,
济宁韦宁&香港有意思 二不限 3%,3691.29,3691.29,,0,,,,,深圳芳林子@SHEN 户,149354.74,101292.88,24099.85,23962.01,2024-12-01 00:00:00,
欧洲三不限-泰华709-Sherry,1266,1266,,0,,,,,金融户印度-泰华Jennie,9175.27,35.16,9814.11,-674,2024-12-03 00:00:00,
深圳芳林子@SHEN 户,147899.5,,,147899.5,,32129.37,,,,,,,,,
FA-泰华印度1016（A-JIE） ,12189.85,12189.85,,0,,,,,,,,,,,
Chris Ryan&二不限,779.34,779.34,,0,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,待清零金额,,,114410.9736,,
,,,,,,,,,账单户广告费,5797.67,,,,,
,,,,,,,,,启航广告费,16432,,,,,
,,,,,,,,,十月二不限-泰华,2776,,,,,
