日期,地区,投手,账户名称/ID,账户种类,代理商,转点截图Today MAX,转点截图yesterday MAX,备注,手续费,实际消耗,"包含手续费
的消耗",开户费
2025-11-04 00:00:00,印度,MY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,71.183875,,,5.69471,71.183875,76.878585,
2025-11-04 00:00:00,印度,LM,Tencent IS Pte.Ltd +8 -051  1591004292308308,美金户,B哥-fb三不限10➕1,33.63,,,3.6993,33.63,37.3293,
2025-11-04 00:00:00,印度,MM,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,150.87,,,12.0696,150.87,162.9396,
2025-11-04 00:00:00,瑞典,MY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,398.7664375,299.722,,7.923555,99.0444375,106.9679925,
2025-11-04 00:00:00,马来西亚,LM,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,16.98,,,1.5282,16.98,18.5082,
2025-11-04 00:00:00,印度,YJ,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,598.965125,395.3921875,,16.285835,203.5729375,219.8587725,
2025-11-04 00:00:00,瑞典,JK,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,155.68,,,14.0112,155.68,169.6912,
2025-11-05 00:00:00,尼日利亚,FKZ,01 1  1556948215485152,美金户,内部自用,319.79,319.79,,0.0,0.0,0.0,
2025-11-05 00:00:00,尼日利亚,FKZ,01 2  2040394593448446,美金户,内部自用,992.43,800.0,,0.0,192.43,192.43,
2025-11-05 00:00:00,尼日利亚,FKZ,01 3  1679504480120740,美金户,内部自用,1280.96,1072.73,,0.0,208.23,208.23,
2025-11-05 00:00:00,尼日利亚,FKZ,01 4  1213050317353296,美金户,内部自用,794.77,575.03,,0.0,219.74,219.74,
2025-11-05 00:00:00,尼日利亚,FKZ,01 5  824826453257742,美金户,内部自用,796.33,530.45,,0.0,265.88,265.88,
2025-11-05 00:00:00,马来西亚,YK,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,696.127,443.3180625,,20.224715,252.8089375,273.0336525,
2025-11-05 00:00:00,马来西亚,LM,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,26.91,16.98,,0.8937,9.93,10.8237,
2025-11-05 00:00:00,瑞典,FD,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,10567.52,10534.82,,2.943,32.7,35.643,
2025-11-05 00:00:00,瑞典,JK,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,509.36,155.68,,31.8312,353.68,385.5112,
2025-11-05 00:00:00,瑞典,LD,Tencent IS Pte.Ltd +8 -050  905176548823872,美金户,B哥-fb三不限10➕1,103.02,30.08,,8.0234,72.94,80.9634,
2025-11-05 00:00:00,瑞典,LM,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,66.04,,,5.9436,66.04,71.9836,
2025-11-05 00:00:00,瑞典,LM,Tencent IS Pte.Ltd +8 -051  1591004292308308,美金户,B哥-fb三不限10➕1,48.3,,,5.313,48.3,53.613,
2025-11-05 00:00:00,瑞典,YJ,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,131.07,,,11.7963,131.07,142.8663,
2025-11-05 00:00:00,瑞典,YJ,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,226.7778125,,,18.142225,226.7778125,244.9200375,
2025-11-05 00:00:00,韩国,MY,CapitalV-525  2296149764140259,美金户,凤凰&洛阳,188.1,138.1,,5.5,50.0,55.5,
2025-11-05 00:00:00,韩国,MY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,68.9903125,17.9694375,,4.08167,51.020875,55.102545,
2025-11-05 00:00:00,韩国,HY,FBQT - Xiaohe 1  810294425297207,额度户,凤凰&洛阳,26.43,16.77,,1.449,9.66,11.109,
2025-11-05 00:00:00,韩国,YK,CapitalV-14  1303476708234144,美金户,凤凰&洛阳,4325.52,4319.03,,0.7139,6.49,7.2039,
2025-11-05 00:00:00,韩国,YK,CapitalV-112  1471775994150134,美金户,凤凰&洛阳,2244.86,2238.9,,0.6556,5.96,6.6156,
2025-11-05 00:00:00,韩国,MM,CapitalV-106  1476490126933537,美金户,凤凰&洛阳,5424.64,5396.23,,3.1251,28.41,31.5351,
2025-11-05 00:00:00,韩国,MM,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,162.7083125,156.7940625,,0.47314,5.91425,6.38739,
2025-11-05 00:00:00,尼日利亚,FKZ,01 1  1556948215485152,美金户,内部自用,319.79,319.79,,0.0,0.0,0.0,
2025-11-05 00:00:00,尼日利亚,FKZ,01 2  2040394593448446,美金户,内部自用,1026.73,992.43,,0.0,34.3,34.3,
2025-11-05 00:00:00,尼日利亚,FKZ,01 3  1679504480120740,美金户,内部自用,1384.24,1280.96,,0.0,103.28,103.28,
2025-11-05 00:00:00,尼日利亚,FKZ,01 4  1213050317353296,美金户,内部自用,961.14,794.77,,0.0,166.37,166.37,
2025-11-05 00:00:00,尼日利亚,FKZ,01 5  824826453257742,美金户,内部自用,984.87,796.33,,0.0,188.54,188.54,
2025-11-06 00:00:00,马来西亚,YK,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,1187.459188,696.127,,39.306575,491.3321875,530.6387625,
2025-11-06 00:00:00,马来西亚,MY,BA VORNIX 9  1412307579460468,印尼企业户,印度户印尼企业户,60.5598125,,,4.844785,60.5598125,65.4045975,
2025-11-06 00:00:00,马来西亚,MM,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,29.038125,,,2.32305,29.038125,31.361175,
2025-11-06 00:00:00,马来西亚,XH,BON-XANY-VND-1027-05  1655882428449007,越南户,海总-黑泽,,49.11468,历史消耗,,,,
2025-11-06 00:00:00,马来西亚,LM,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,78.28,26.91,,4.6233,51.37,55.9933,
2025-11-06 00:00:00,马来西亚,JK,BA VORNIX 2  1159503902059269,印尼企业户,印度户印尼企业户,30.2140625,,,2.417125,30.2140625,32.6311875,
2025-11-06 00:00:00,马来西亚,XH,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,4.72,,,0.4248,4.72,5.1448,
2025-11-06 00:00:00,瑞典,YK,Dong-115  3271878336299926,二不限,十月二不限——（泰华）,36.04,,,0.7208,36.04,36.7608,
2025-11-06 00:00:00,瑞典,YK,Dong-117  3380936762065433,二不限,十月二不限——（泰华）,13.17,,,0.2634,13.17,13.4334,
2025-11-06 00:00:00,瑞典,LD,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,5634.73,5341.33,,26.406,293.4,319.806,
2025-11-06 00:00:00,瑞典,LM,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,540.09,66.04,,42.6645,474.05,516.7145,
2025-11-06 00:00:00,瑞典,FD,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,10928.37,10567.52,,32.4765,360.85,393.3265,
2025-11-06 00:00:00,瑞典,JK,BA GLADIUS 4  936002028210213,印尼企业户,印度户印尼企业户,903.04,509.36,,35.4312,393.68,429.1112,
