地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14
,,,,,,,,,"5/5
邀请码：3EZVVU1NE  
工单链接：https://dash.qukazhen.com/web#/accountshow/3EZVVU1NE  
访问密码：WZ430  
备注信息：王总德国  
  
4915210678752  6
4917686639880  5
4915210276617  6
  
4915217927758  6
4915210797499  5
4917673986846  5
4915213125027  6
4915210756851  3
4915210746583   0
  
共计有效 42",42,,,,
德国股票粉3组【张小强】,5/7  55群  有效11,11,已结,,,,,,"5/6
4915217927758  5
4915210797499  6
4917673986846  6
4915213125027  7
4915210756851  1
4915210276617  2
4915210746583  1
总计28",28,已结,渠道F 马来K,4/30  有效5,5.0
,5/8  55群   有效20,20,已结,,,,,,"5/7
4915210746583   4
4915210756851   1
4915210276617    1
共计有效6",6,已结,,"5.1  
601125822940  进线2
 60165867650  进线3
 60146411693  进线2
60107948902  进线1
共计有效8",8.0
,5/9  55群  有效13,13,已结,,,,,,"5/8
4915258379487 3

4917686639880  2

共计有效5",5,已结,,"5/2   
60195604637进线2
 60193289082进线4
 60105330408进线2
总计有效8",8.0
,5/9  59群  有效18,18,已结,,,,,,"5/9
4915213086520 4
4915210797499 5
4917673986846 5
4915210276617  1
4915210746583   1
共计有效16",16,已结,,"5/5
60164239639进线2
601127593390进线1
共计有效3",3.0
,5/10  81群  有效21,21,已结,,,,,,"5/10
4917686639880   1
4915210276617   1
共计有效2",2,已结,,5/7  有效3,3.0
,5/10  45群  有效30,30,已结,,,,,,"5/12
4915213086520 5
4917673986846 0
4915217927758  2
有效7",7,已结,,5/8 有效4,4.0
,5/11   44群  有效29,29,已结,渠道30 日股粉（张总） 谷歌,5/6   pem@fd2*****    有效2,2.0,,,5/13   K3群   有效13,13,已结,,"5/12  
601169729428进线3 
 601121223236进线1
共计有效4",4.0
,5/11  24群  有效2,2,已结,,5/7   有效31,31.0,,,"5/14
F7  有效12
E8  有效2
共计有效14",14,已结,,"5/13
601121223236  进线1
601137825516   进线0
共计有效1",1.0
,5/12  61群  有效13,13,已结,,"5/8  
fgffg@85635 进线 10个
 jhfd@8341 进线1个
mjil@568565 进线 1个
gfhh@88336 进线 1个
uiok@834122 进线 9个
总有效 22 个",22.0,,,"5/15
4915510612630   有效1",1,已结,,"5/14
60142958546  进线1
共计进线1",1.0
,"
5/12   24群  有效9",9,已结,,5/13  日本单导  有效22,22.0,,,5/27  有效1,1,已结,,5/15   有效1,1.0
,5/13  61群 有效28,28,已结,,5.14  有效35,35.0,,,5月28日有效1,1,已结,,5/16 有效5,5.0
,5/14  24群  有效13,13,已结,,,,,,5/29  有效5,5,已结,,5/17 有效11,11.0
,"5/16
W3  有效3
6群  有效2
共计有效5",5,已结,,,,,,5/30 有效3,3,已结,,5/18  有效5,5.0
,5/16  W3  有效1,1,已结,,,,,,5/31  有效9-1,8,已结,,5/19  有效5,5.0
,5/16 6群 有效2,2,已结,,,,,,,余1个,,,5/20   有效1,1.0
,"5/19 
K1群有效1.33
G100群有效7",8,已结,,,,,,,,,,5/22 有效1,1.0
,5/20 K1群有效1,1,已结,,,,,,,,,,5/23  有效1,1.0
,"5/21 G100群 有效1
      K1 有效4",5,已结,,,,,,,,,,5/24   有效4,4.0
,5/22  G100  有效2,2,已结,,,,,,,,,,"5/25
60142711955  0
60147853893  2
60164279683  3
60178590672  3
共计有效8",8.0
德国股票粉4组【张小强】,5/23  K1   有效1,1,已结,,,,,,,,,,5/26  有效7,7.0
,5/24 K1群有效1,1,已结,,,,,,,,,,5/27  有效2,2.0
,5/25 G100 有效12,12,已结,,,,,,,,,,5/28 有效3,3.0
,5/27  k1  有效3.33,3,已结,,,,,,,,,,5/29 有效,8.0
,5/27  k1有效3.16,3,已结,,,,,,,,,,,
,5/27 T1群 有效4.33,4,已结,,,,,,,,,,,
,5/28  k1  有效2,2,已结,,,,,,,,,,,
,暂停,,,,,,,,,,,,,
