地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14
意大利,意大利二期打粉3/24开始,https://docs.google.com/spreadsheets/d/1_editwT3IbaA99kYURNJFI4RkjTD_QgAaNJNunyY01k/edit?gid=0#gid=0,49018.68,511,95.92696673,100000.0,120,61320,0,38680,意大利二期，总打款100000，总有效511，100000-511*120= 38680，转印度7期,5/4结束,,
印度,印度6期,https://docs.google.com/spreadsheets/d/114mCiYZdyDJNvfrjp-mS9uh_MnLERhX6Q4moI35ctnU/edit?usp=drivesdk,123636.77,5996,20.61987492,131064.0,28,167888,36824,0,印度5期1064（剩余）转6期，印度6期总转款1064+130000-5996*28=-36824,5月继续,,
印度,印度15期,https://docs.google.com/spreadsheets/d/1knD9BuepsyopYWzrrjwFypZ8brBbf2RqySNI7HS-boo/edit?usp=drivesdk,31307.39,2060,15.19776214,50000.0,28,57680,-7680,0,印度15期总打款50000，总有效2060，50000-2060*28=-7680，5/7已转尾款,5/5结算,,
印度,印度7期,https://docs.google.com/spreadsheets/d/1drGPN2C3Aq-Q1xdM726y2MG9JyHikcZ3oizHLlwGGHc/edit?gid=0#gid=0,129250.44,6152,21.00949935,188680.0,28,172256,0,16424,意大利二期余款38680转印度7期，印度7期总转款150000，总有效6152，38680+150000-6152*28=16424,5月9已核对,,
马来,渠道F 马来K,无,14394.49,99,145.3988889,13000.0,130,12870,0,130,5/29 总预付100个，总有效99个，剩余预付100-99=1个,5/29已结清,,
印度,印度B1,https://docs.google.com/spreadsheets/d/19Pe_DSht14GkVklKGItsB4GY4bRCvE1P8rQqk23A3-A/edit?gid=0#gid=0,12037.1048073702,842,14.29584894,22400.0,28,23576,-1176,0,印度B1总打款22400，总有效842，22400-842*28=-1176,5/13 已结清,,
日本,渠道30 日股粉（张总） 谷歌,https://docs.google.com/spreadsheets/d/187Ni2xrIxcUn6OMMxCLvRqnCzV5b99gRY430nwL1Bs0/edit?usp=drivesdk,24420,112,218.0357143,28000.0,250,28000,0,0,,,,
印度,印度8期,https://docs.google.com/spreadsheets/d/1qGV_Djb93rreCPoLSvgWWQPXNjlsaKP7jvZYIkv6OdQ/edit?gid=0#gid=0,160528.24,7810,20.55419206,218680.0,28,218680,0,0,"印度7期余款16,424，印度8期总打款200,000，总有效7810，16,424+200,000-7810*28=-2256，已结2256",5/19已结清,,
德国,德国股票粉3组【张小强】,无,30652.62,257,119.2708949,34739.0,135,34739,0,0,,5/17已结束,,
德国,德国 张总（王总）/（王总）德国股票粉,无,41032.11,339,121.0386726,45900.0,135,45765,0,135,,,,
印度,印度BB1,https://docs.google.com/spreadsheets/d/1xJ0DWqu1zDO7572fGi6vrr-aULy3uRJXeKpIlcvBMZo/edit?usp=drivesdk,61826.75,3277,18.86687519,70000.0,28,91756,-21756,0,"印度BB1总打款70,000，总有效3313，70,000-3277*28=-21756",5/19已结清,,
印度,印度9期,https://docs.google.com/spreadsheets/d/10NrNn7qvMggXy1DL3wz_dDrNeazs6qrtW4WoGDB8QZE/edit?usp=drivesdk,173690.32,11225,15.47352517,251244.0,28,314300,63056,0,"印度7期余款1244，印度9期总打款250,000，总有效11225，1244+250,000-11225*28= -63056",5/29已结清,,
印度,印度7期补的群,https://docs.google.com/spreadsheets/d/1drGPN2C3Aq-Q1xdM726y2MG9JyHikcZ3oizHLlwGGHc/edit?gid=0#gid=0,16091.5,1027,15.6684518,30000.0,28,28756,0,1244,"印度7期总打款30,000，总有效1027，30,000-1027*28=1244，转9期",,,
印度,波贝2期,https://docs.google.com/spreadsheets/d/1o3csyZYttnkKSovVly2a9rViw3apgd_23jMYkoHvrT0/edit?usp=drivesdk,67030.11,4449,15.06633176,80000.0,28,124572,-44572,0,"印度波贝二期总打款80,000，总有效4449，80,000-4449*28= -44572",5/25已结清,,
印度,白马2期,,,,,,,,,,5-6月，跨月打，算在了6月里,,,
印度,印度8期补群,https://docs.google.com/spreadsheets/d/1qGV_Djb93rreCPoLSvgWWQPXNjlsaKP7jvZYIkv6OdQ/edit?gid=0#gid=00,17714.19,1269,13.95917258,50000.0,28,35532,0,14468,"5/29开始的，印度8期总打款50,000，总有效1269，50,000-1269*28=14468(剩余)，转印度10期",6/1已核算,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,甲方,人数,单价,总打款,剩余广告费,,,,,,,,,
,印度8期补群,1291,28,50000,13852,,印度8期补群,剩余广告费,13852,按进群算,核对总有效都让WXR去弄，再发账单,,,
,白马2期,1319,28,22400,-14532,,白马2期,剩余广告费,-14532,按进群算,,,,
,,,,,,,,,,,,,,
,（王总）德国股票粉,339,135,45765,,,（王总）德国股票粉,未结,17,个,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,渠道30 日股粉（张总） 谷歌,112,250,28000,0,,渠道30 日股粉（张总） 谷歌,剩余广告费,0,按有效算,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,德国 张总（王总）,4/29 S8-1群 有效35,35,已结,,,
,,,,,,,,,4/30  德国单导  有效26,26,已结,,,
,,,,,,,,,4/30  H1  有效3,3,已结,,,
,,,,7179,,,,,"5.1  德国单导
4915215411390  7
4915213020236  5
4915217743336  12
4915219367517  5
4915212897643  5
4915210591435  7
4915510564480  5
共计46",46,已结,,,
,,,,,,,,,"5/2  德国单导
  
4915215411390  5
4915213020236  5
4915217743336  5
4915219367517  3
4915212897643  2
4915210678752  6
4915210276617  5
4915210756851  6
4915217927758  5
4915217743410  2
4915213086520  6
4915212392118  1
4917686639880  5
4915510461712  5
4915210797499  5
4917673986846  5
4915510564480  6
4915210746583   0
总 77",77,已结,,,
