地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12
印度,拉总（印度）24/德国135,无,2178.5,24,90.77083333,576,24,576,0,0,,
印度,印度17期,https://docs.google.com/spreadsheets/d/1eUc8od8G9BkUo5EshOsFK_5NE-B1nnijnN2JQw55Z4I/edit?gid=0#gid=0,94391.99,367,257.1988828,30000,28,10276,0,19724,印度17期总转款30000，总有效367，30000-367*28=19724,9/8 已确认。9月进群0
印度,印度18期,https://docs.google.com/spreadsheets/d/1xhrlAMJgUW41zQm63LED1gFrZIzvFhleSTvvOWaAPUo/edit?gid=0#gid=0,168375.03,5131,32.81524654,139724,28,143668,-3944,0,"印度17期余款19724 已转印度18期，印度18期总转款120,000，19724+120000-5131*28=-3944",9/26 已结清
印度,白马4期,https://docs.google.com/spreadsheets/d/12xulJMefwV8GYNZLPawfyQMtcjWPiOJb4iqsD6MnL1g/edit?usp=drivesdk,62472.91,2392,26.11743729,60000,28/35,67886,-7886,0,其中有130个是谷歌粉，单价35,
意大利,意大利3期,https://docs.google.com/spreadsheets/d/1kd_-E-8GBpatDp9ZVlqcN7hk0f76fOBZdzT85ZMoKGE/edit?gid=0#gid=0,29122.3,439.5,66.26234357,80000,130,59495,0,20505,8/11开始，单价是130，20505已退9/5,9/5已核对
意大利,2009意大利,无,3408.61,17.5,194.7777143,0,130,2260,2260,0,2009意大利总转款0，总有效17.5，0-1.5*120-16*130=-2260,9/5已核对
意大利,2011意大利,无,3472.87,16.5,210.4769697,0,130,2145,2145,0,2011意大利- (3+2+11.5)*130=2145,9/16 已结清
意大利,意大利3期补群,无,4685.59,34.5,135.8142029,4485,130,4485,0,0,,
新加坡,渠道BF 新加坡L,单导,371.32,0,#DIV/0!,2700,90,0,0,2700,9/11停，没打,
西班牙,西班牙大区1组资源-张小强,无,6269.15,88,71.24034091,9680,110,9680,0,0,,
日本,日本 FB人设,单导,38860,268,145,59000,180,48240,0,10760,,
尼日利亚,尼日利亚,-,152.53,0,/,200,/,168,0,0,152.53*0.1=15.3+152.53=168,
马来,B哥/马来英语粉,单导,6090.32,83,73.3773494,20000,95,7885,0,12115,,
德国,渠道BF 德国F,无,3996.02,23,173.74,8000,160,3680,0,4320,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,甲方,人数,单价,总打款,剩余广告费,,,,,,核对总有效都让WXR去弄，再发账单,
,白马4期,505,28,30000,15860,,,,,,,
9/24 改名白马5期,白马4期-谷歌,135,35,15860,11135,,,,,,,
,白马4期FB,2018,28,41135,-15369,,白马4期FB,剩余广告费,-15369,,,
9/18 的123改128预付,日本 FB人设,268,180,59000,10760,59.77777778,日本 FB人设,剩余广告费,10760,,,
,B哥/马来英语粉,83,95,20000,12115,,B哥/马来英语粉,剩余广告费,12115,,,
,渠道BF 德国F,23,160,8000,4320,,渠道BF 德国F,剩余广告费,4320,,,
,渠道BF 新加坡L,0,90,2700,2700,,渠道BF 新加坡L,剩余广告费,2700,,,
,,,,,,,,合计,14526,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
西班牙大区1组资源-张小强,9/1   F50 有效 11,11,1210,已结,2009意大利,9/1  C199  有效1,1,130,拉总（印度）24/德国135,9/3  有效3,72,已结
,9/2   F50 有效25,25,2750,已结,,9/13  J420有效2,2,260,,9/4  有效21,504,已结
,9/3  T5 有效 19,19,2090,已结,,9.14   有效10,10,1300,,,,
,9/5  C68有效20,20,2200,已结,,,,,,,,
,9/5  A17 有效13,13,1430,已结,,,,,,,,
,,,,,日本 FB人设,9/16  有效50,50,,,,,
,,,,,,9/17  有效44,44,,,,,
,,,,,,9/18  有效11,11,,渠道BF 德国F,8/21 有效12,12,
,9月5日 西班牙大区1组资源-张小强,,,,,9/19  有效52,52,,,8/24 有效4,4,
,,,,,,9/20  有效89,89,,,8/27  有效4,4,
,9/5  A17 有效13,,,,,9/22  有效15,15,,,9/5 有效2,2,
,,,,,,9/23  有效7,7,,,9/6  有效1,1,
,合计:13*110=1430,,,,,,,,,,,
,,,,,,,,,,,,
,TPcJKnP3ZggQJaPRtTHQUeGKb4hPaG63ZW，地址不变，转了麻烦发下截图,,,,,,,,意大利3期补群,9/10  L793  有效23,23,2990
,,,,,,,,,,9/12  L793  有效11.5,11.5,1495
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,2011意大利,9/11 H321 有效3,3,390
,,,,,马来英语粉,9/16  有效5,5,,,9/13  J420有效2,2,260
,,,,,,9/17  有效14,14,,,9/14  J420  有效11.5,11.5,1495
,,,,,,9/18  有效10,10,,,,,
,,,,,,9/23  有效3,3,,,,,
,,,,,,9/25   有效10,10,,,,,
,,,,,,9/26  有效7,7,,,,,
,,,,,,9/29  有效19,19,,,,,
,,,,,,9/30  有效15,15,,,,,
