地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14
2025-06-02 00:00:00,https://docs.google.com/spreadsheets/d/1y7ZQJu7VYKjXlrhh6nCzsoSWiB2iED3OdGi4btdI-ho/edit?gid=0#gid=0,35,840,已结,,,,,,,6/5 有效4,4,,
2025-06-06 00:00:00,https://docs.google.com/spreadsheets/d/1iIDfOTrXVdtRR4ncxEBogWXZp3dllnmVcgHS1Q8-LtM/edit?gid=0#gid=0,460,11040,已结,海哥-奥地利,6.4有效3个,3,270,,,6/6 有效4,4,,
2025-06-13 00:00:00,https://docs.google.com/spreadsheets/d/1NpavgptY5rhR5bmMnBOuJEJIHECKyGzvfbtJOXhoehw/edit?gid=0#gid=0,133,3192,已结,,6/5 有效3,3,270,,,6/7 有效2,2,,
2025-06-14 00:00:00,https://docs.google.com/spreadsheets/d/1CV9tFKeF2VWuNtq1Lqr81xXlDt46Zws16ZRo8F0AR2I/edit?gid=0#gid=0,0,,,,6.6有效2个,2,180,,,6/8 有效1,1,,
2025-06-16 00:00:00,https://docs.google.com/spreadsheets/d/1Taf5S1-LUE8O4-9d-gy4El-7__uBO5bqbewrt4Mi4eE/edit?gid=0#gid=0,184,4416,已结,,6/8 有效4个,4,360,,,6/9 有效3,3,,
2025-06-17 00:00:00,https://docs.google.com/spreadsheets/d/1rzFnPsQqhNBe84OaT3Vq17tbWk7idgG54QPhucaOKvU/edit?gid=0#gid=0,1296,31104,已结,,6/9 有效6,6,540,,,,,,
2025-06-19 00:00:00,https://docs.google.com/spreadsheets/d/1rzFnPsQqhNBe84OaT3Vq17tbWk7idgG54QPhucaOKvU/edit?gid=0#gid=0,470,11280,已结,,6.10有效3个,3,270,,,,,,
2025-06-20 00:00:00,https://docs.google.com/spreadsheets/d/1rzFnPsQqhNBe84OaT3Vq17tbWk7idgG54QPhucaOKvU/edit?gid=836745103#gid=836745103,651,15624,已结,,6/11 有效9个,9,810,,德国股票粉（2）组【张小强】,6/15 有效9,9,1350.0,已结
2025-06-23 00:00:00,https://docs.google.com/spreadsheets/d/1rzFnPsQqhNBe84OaT3Vq17tbWk7idgG54QPhucaOKvU/edit?gid=836745103#gid=836745103,390,9360,已结,,6/12 有效9个,9,810,,,6/16  M1群有效1,1,150.0,已结
2025-06-24 00:00:00,https://docs.google.com/spreadsheets/d/1rzFnPsQqhNBe84OaT3Vq17tbWk7idgG54QPhucaOKvU/edit?gid=0#gid=0,213,5112,已结,,6/13 有效3个,3,270,,,6/17 有效9,9,1350.0,已结
2025-06-25 00:00:00,https://docs.google.com/spreadsheets/d/1rzFnPsQqhNBe84OaT3Vq17tbWk7idgG54QPhucaOKvU/edit?gid=0#gid=0,345,8280,已结,,6/14 有效1,1,90,已结,,6/18 有效5个,5,750.0,已结
2025-06-26 00:00:00,https://docs.google.com/spreadsheets/d/1rzFnPsQqhNBe84OaT3Vq17tbWk7idgG54QPhucaOKvU/edit?gid=836745103#gid=836745103,350,8400,已结,,,,,,,6/19 有效4个,4,600.0,已结
2025-06-30 00:00:00,https://docs.google.com/spreadsheets/d/1rzFnPsQqhNBe84OaT3Vq17tbWk7idgG54QPhucaOKvU/edit?gid=836745103#gid=8367451033,194,4656,已结,,,,,,,6/20 有效3个,3,450.0,已结
,,,,,,,,,,,6/21 有效2个,2,300.0,已结
,,,,,德国蟑螂哥结算群,6\23  有效33,33,4950,已结,,6/22 有效5个,5,750.0,已结
,,,,,,6/24 有效23,23,3450,已结,,6/23 有效6个,6,900.0,已结
,,,,,,6/25 有效2,2,300,已结,,6/24 有效6个,6,900.0,已结
,,,,,,6/30  有效1,1,160,已结,,6/25 有效4个,4,600.0,已结
蟑螂哥西班牙渠道（3梯队）,6/16  有效1,1,100,已结,,7/1 有效2,2,320,已结,,6/26 有效18.33个,18.33,2749.5,已结
,,,,,,,,,,,6/27 有效8个,8,1200.0,已结
海总-西班牙测试,6/18 有效2,2,160,未结,,,,,,,6/28 有效10个,10,1500.0,已结
,6/27  有效1,1,80,未结,,,,,,,6/29 有效3.33个,3.33,532.8,已结
,6/30  有效1,1,80,未结,,,,,,,6/30 有效10.33,10.33,1652.8,已结
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
ALEX&西班牙_放单暂定85,6/23  有效4,,,,,,,,,,,,,
,6/24 有效1,,,,,,,,,,,,,
,6/24 暂停,,,,,,,,,,,,,
