地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14
印度,白马2期,https://docs.google.com/spreadsheets/d/1TT252f0sQ0YpQIJik7dXZv0AKu0xSapD5qPkiYrU9qo/edit?gid=0#gid=0,48632.43,3023,16.08747271,53200,28,84644,-31444,0,"白马2期总打款53,200，总有效3023，53,200-3023*28=-31444",6/3 已结束,,
印度,拉总（印度）24,看下侧,81710.28,4965,16.4572568,119160,24,119160,0,0,,,,
德国,（王总）德国股票粉,无,705.53,3,235.1766667,405,135,405,0,0,,,,
印度,白马3期,https://docs.google.com/spreadsheets/d/1BgvKZFakTChujgtdBQdHibha2L9Mcmdmw5RXE3kfi6g/edit?gid=0#gid=0,87317.03,5939,14.70231184,150400,28,166292,-15892,0,"白马3期总转款150,400，总有效5939，150,400-5939*28=-15892",6/13已结算,,
德国,渠道BF 德国B 6/3开始,无,3823.68,17,224.9223529,6500,130,2210,0,4290,渠道BF 德国B总转款6500，6500-17*130=4290,6月群里未核对,,
奥地利,海哥-奥地利,无,10305.36,43,239.6595349,3870,90,3870,0,0,,,,
印度,印度十期,https://docs.google.com/spreadsheets/d/1tvmw5SDznQBZAjk7wvjfT2WXdUUidYqDxxOYALxqVyo/edit?gid=0#gid=0,30668.96,1668,18.38666667,64468,28,46704,0,17764,印度8期剩余14468，印度十期总转款50000，总有效1668，14468+50000-1668*28=17764转11期,6/11 已结清,,
印度,白马2期补群,https://docs.google.com/spreadsheets/d/1TT252f0sQ0YpQIJik7dXZv0AKu0xSapD5qPkiYrU9qo/edit?gid=0#gid=0,22271.68,1264,17.62,0,28,35392,-35392,,白马2期补群总转款0，总有效1264，0-1264*28=-35392,6/11 已结清,4691.0,
印度,印度11期,https://docs.google.com/spreadsheets/d/1pHcBoNjCQG5KkswSbkYBPkQWbinfohMPhQaQA6qlOs8/edit?gid=0#gid=0,74204.4,3871,19.16931026,117764,28,108388,0,9376,十期余款17764，印度11期总转款100000，17764+100000-3871*28=9376,6/18已核算,,
西班牙,蟑螂哥西班牙渠道（3梯队）,无,912.26,1,912.26,100,100,100,0,0,,,,
德国,德国股票粉（2）组【张小强】,无,14416.17,103.99,138.6303491,13549.5,150/160,15735.1,-2185.6,0,,,,
西班牙,海总-西班牙测试,无,926.68,4,231.67,0,80,320,-320,0,,,,
西班牙,ALEX&西班牙_放单暂定85,无,462.67,5,92.534,1700,85,425,0,1275,6/24 已退1275,,,
德国,德国蟑螂哥渠道,无,6642.36,59,112.5823729,8700,150/160,8860,-160,0,,,,
,,,,,,,,,,,,,,
,甲方,人数,单价,总打款,剩余广告费,,,,,,,,,
,印度十期,1668,28,64468,17764,,印度十期,剩余广告费,17764,,,,,
,印度11期,3871,28,117764,9376,,印度11期,剩余广告费,9376,转12期,,,,
,拉总（印度）24,3863,24,83352,-9360,,拉总（印度）24,未结,0,个,,,,
,海哥-奥地利,104,90,3870,-5490,,海哥-奥地利,未结,0,个,,,,
,渠道BF 德国B,17,130,6500,4290,,渠道BF 德国B,剩余广告费,4290,,,,,
,德国股票粉（2）组【张小强】,103.99,150,13549.5,-2185.6,,德国股票粉（2）组【张小强】,剩余广告费,-2185.6,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
拉总（印度）24,,,,,,,,,,,,,,
2025-06-01 00:00:00,https://docs.google.com/spreadsheets/d/1JuaRJpNiGDHZ6uzBs6DEdgOvoxUKsZKgM86c2qK4kEU/edit?gid=0#gid=0,244,5856,已结,（王总）德国股票粉,6/2  有效3,3,已结,,渠道BF 德国B,6/4  有效3,3,,
