地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14
意大利,意大利二期打粉3/24开始,https://docs.google.com/spreadsheets/d/1_editwT3IbaA99kYURNJFI4RkjTD_QgAaNJNunyY01k/edit?gid=0#gid=0,56952.90439,473,120.4078317,100000.0,120,56760,0,43240,消耗和进粉是3-4月2个月的,5月继续,,
印度,印度L2期,https://docs.google.com/spreadsheets/d/1HP7Xzi31aCjVnkYy8rfacJlXQuPMFJtzN4rt0ry8LAk/edit?usp=drivesdk,51807.4403712838,2714,19.08896108,100000.0,28,75992,0,24008,"印度L2期总打款$100,000，总有效2714，100,000-2714*28=24008（转印度19期）",4/9结清,,
印度,印度14期,https://docs.google.com/spreadsheets/d/1yJAjU28Eg95YSlYKsjEJptA7uJRHDD_0-T2Eoa8gULs/edit,32141.86603,1490,21.57172217,70000.0,28,41720,0,28280,"印度14期总打款70,000，总有效765+725，70,000-(765+725)*28=28,280（转印度19期）",4/8结清,4月进0,
印度,印度4期,https://docs.google.com/spreadsheets/d/1AwD2mLpw9CIng9D59-zD6CTUb5p5_UbVD7kYfhZtI6U/edit?usp=drivesdk,139957.1003,6595,21.22169831,250000.0,28,184660,0,65340,印度4期总打款250000，总有效6595，250000-6595*28=65340（转印度5期）,4/16结清,4月进1774,
日本,渠道30 日股粉（张总） FB,无,98538.90025,657,149.9831054,171000.0,180,118260,0,52740,总预付171000，预付950个，总有效657，950-657= 293个，剩余预付金额171000-657*180= 52740，4/21已退剩余52740,4/21已退,,
意大利,意大利（海哥）,无,12153.3301191798,75,162.0444016,30000.0,120,9000,0,21000,意大利（海哥）总转款30000，30000-75*120=21000（剩余）,5/1已退,,
印度,印度19期4/8开始,https://docs.google.com/spreadsheets/d/1d9hgcEH9fw-V2j-IfaKsk6DpdUTHQedMHL-JZhaknRM/edit?gid=0#gid=0,36502.9941525363,2243,16.27418375,52288.0,28,62804,-10516,0,"印度14期余款28,280 转印度19期；印度L2期余款24,008转印度19期，28,280 +24,008=52288，总有效2243，52,288-2243*28= -10516，",4/14结束,,
德国,德国股票粉1组【张小强】4/10开始,无,36400.62,331,109.9716616,44685.0,135,44685,0,0,,4/27结束,,
德国,德国股民单粉——summer,无,6500,60,108.3333333,20250.0,135,8100,0,12150,德国股民单粉——summer总打款20250，总有效60（已扣退群5），20250-123*60=12150已退,4/10 结束,,
印度,印度5期,https://docs.google.com/spreadsheets/d/1f3yXm2mB8zQ0rMpvJCZP1JqXAepJpLSFMw04P3-cRpI/edit?usp=drivesdk,117527.454806625,5867,20.03195071,165340.0,28,164276,0,1064,印度4期余款 65340（转印度5期），印度5期总打款100000，总有效5867，65340+100000-5867*28=1064（剩余）转6期,4/23结清,,
印度,印度6期,https://docs.google.com/spreadsheets/d/114mCiYZdyDJNvfrjp-mS9uh_MnLERhX6Q4moI35ctnU/edit?usp=drivesdk,107032.149268581,5296,20.20999797,51064.0,28,167888,36824,0,印度5期1064（剩余）转6期，印度6期总转款130000，1064+130000-5996*28=-36824,5月继续,5296是4月进的，剩的700是5/1交的群,
印度,海哥一期（印度1500）,https://docs.google.com/spreadsheets/d/12vAOo8jiutJveEmPC_VqfgMnoG90GSQR4QY9pr_3wmU/edit?usp=drivesdk,11895.4572694066,623,19.09383189,30000.0,28,17444,0,12556,海哥一期（印度1500）总打款30000，30000-623*28=12556,4/26结清,,
印度,印度15期,https://docs.google.com/spreadsheets/d/1knD9BuepsyopYWzrrjwFypZ8brBbf2RqySNI7HS-boo/edit?usp=drivesdk,26176.7898981969,1518,17.24426212,50000.0,28,42504,0,7496,5月继续,,,
印度,印度7期,https://docs.google.com/spreadsheets/d/1drGPN2C3Aq-Q1xdM726y2MG9JyHikcZ3oizHLlwGGHc/edit?gid=0#gid=0,2417.92233859397,134,18.04419656,50000.0,28,3752,0,46248,,5月继续,,
马来,渠道F 马来K,无,766.47,5,153.294,6500.0,130,650,0,5850,,5月继续,,
