日期,地区,投手,账户名称/ID,账户种类,代理商,转点截图Today MAX,转点截图yesterday MAX,备注,手续费,实际消耗,"包含手续费
的消耗",开户费
2025-07-01,德国,HW,FV92-zs-tthd-1642  1815567322519393,美金户,开户美国三不限户,,0.04,历史消耗,,,,
2025-07-01,印度,SG,Momentus_client3-140425-5  549740840492004,印度户,深圳芳林子,65000.0,63251.55775,,335.3512236,1748.44225,2083.793474,
2025-07-01,印度,HW,VH_HK_9_ZYA-004  768369575850195 ,印度户,深圳芳林子,1268.202143,,,217.6234877,1268.202143,1485.825631,
2025-07-01,印度,HY,Momentus_client3-140425-4  187091920981012,印度户,深圳芳林子,6669.293125,3152.472375,,674.5262199,3516.82075,4191.34697,
2025-07-01,印度,YJ,Momentus_client3-140425-2  928490121876088,印度户,深圳芳林子,22800.44975,20858.88625,,372.3918793,1941.5635,2313.955379,
2025-07-01,印度,MY,Momentus_130225-1  998366051600669,印度企业户,B哥-印度户15➕1,953.888,88.137875,,139.8186452,865.750125,1005.56877,
2025-07-01,德国,SG,JNS-MIG-Goldp-100page--3-48  874825774392808,美金户,印度企业户 欧洲美金户,154.23,51.99,,12.2688,102.24,114.5088,
2025-07-01,德国,LYD,GAA-LY-40-B  674341622174942,美金户,凤凰&洛阳,15.72,,,2.358,15.72,18.078,
2025-07-01,德国,ZJ,BON-XANY-VND-0519-06  270564665627111,越南户,海总-黑泽-欧洲户对接,1962.29108,1935.28384,,2.452257392,27.00724,29.45949739,
2025-07-01,德国,ZJ,Quu-2803  2089020051607698,二不限,十月二不限——（泰华）,100.0,86.01,,0.1399,13.99,14.1299,
2025-07-01,德国,LYD,FV92-zs-tthd-1642  1815567322519393,美金户,开户美国三不限户,15.22,0.04,,1.0626,15.18,16.2426,
2025-07-02,印度,YK,Daniel Trading 04  715586863787702,印度企业户,海总新渠道,16.2325,,,1.785575,16.2325,18.018075,
2025-07-02,印度,HW,VH_HK_9_ZYA-004  768369575850195 ,印度户,深圳芳林子,2276.475476,1268.202143,,173.019704,1008.273333,1181.293037,
2025-07-02,印度,HW,FirstBridge_GF_034  1606662079955923,印度企业户,印度企业户 欧洲美金户,4012.848,,,642.05568,4012.848,4654.90368,
2025-07-02,印度,SG,Momentus_client3-140425-5  549740840492004,印度户,深圳芳林子,75403.82088,65000.0,,1995.452844,10403.82088,12399.27372,
2025-07-02,印度,YJ,Momentus_client3-140425-2  928490121876088,印度户,深圳芳林子,31569.01575,22800.44975,,1681.810959,8768.566,10450.37696,
2025-07-02,印度,MY,Momentus_130225-1  998366051600669,印度企业户,B哥-印度户15➕1,4524.016125,953.888,,576.5756922,3570.128125,4146.703817,
2025-07-02,印度,HY,Momentus_client3-140425-4  187091920981012,印度户,深圳芳林子,17573.565,6669.293125,,2091.439346,10904.27188,12995.71122,
2025-07-02,德国,SG,Quu-2008  1227525025693051,二不限,十月二不限——（泰华）,763.49,700.01,,0.6348,63.48,64.1148,
2025-07-02,德国,SG,JNS-MIG-Goldp-100page--3-48  874825774392808,美金户,印度企业户 欧洲美金户,199.69,154.23,,5.4552,45.46,50.9152,
2025-07-02,德国,YK,ADA-MUSH-zoner99-0606(DCD1)(GMT +7)(USD)2016  1592756984785015,美金户,启航,505.06,413.52,,13.86969697,91.54,105.409697,
2025-07-02,德国,LYD,GAA-LY-40-B  674341622174942,美金户,凤凰&洛阳,20.69,15.72,,0.7455,4.97,5.7155,
2025-07-03,德国,LYD,OC-SFD-OB-GUO-0516-1  1370079980689617,美金户,启航,,586.89,历史消耗,,,,
2025-07-03,德国,LYD,OC-SFD-OB-GUO-0520-1  1364872014664099,美金户,启航,,396.71,历史消耗,,,,
2025-07-03,德国,ZJ,OC-SFD-OB-GUO-0520-2  1200298588103864,美金户,启航,,,历史消耗,,,,
2025-07-03,德国,ZJ,OC-SFD-OB-GUO-0522-01  1017510920442509,美金户,启航,,,历史消耗,,,,
2025-07-03,德国,YK,OC-SFD-OB-GUO-0522-02  1057278136241649,美金户,启航,,11.28,历史消耗,,,,
2025-07-03,德国,YK,OC-SFD-OB-GUO-0522-03  1747502139192664,美金户,启航,,9.47,历史消耗,,,,
2025-07-03,印度,LYD,Daniel Trading 04  715586863787702,印度企业户,海总新渠道,11.957625,,,1.31533875,11.957625,13.27296375,
2025-07-03,印度,MY,Momentus_130225-1  998366051600669,印度企业户,B哥-印度户15➕1,5710.848375,4524.016125,,191.6734084,1186.83225,1378.505658,
2025-07-03,印度,MY,Xunfei_GF_21  1151902866551619,印度企业户,泰华&ME-FB海外户对接群,55.549625,,,8.88794,55.549625,64.437565,
2025-07-03,印度,HY,Momentus_client3-140425-4  187091920981012,印度户,深圳芳林子,28890.85975,17573.565,,2170.657133,11317.29475,13487.95188,
2025-07-03,印度,YK,Daniel Trading 04  715586863787702,印度企业户,海总新渠道,27.2925,16.2325,,1.2166,11.06,12.2766,
2025-07-03,印度,YJ,Momentus_client3-140425-2  928490121876088,印度户,深圳芳林子,39595.50038,31569.01575,,1539.479751,8026.484625,9565.964376,
2025-07-03,印度,SG,Momentus_client3-140425-5  549740840492004,印度户,深圳芳林子,91837.04213,75403.82088,,3151.891836,16433.22125,19585.11309,
2025-07-03,印度,HW,FirstBridge_GF_034  1606662079955923,印度企业户,印度企业户 欧洲美金户,12729.9145,4012.848,,1394.73064,8717.0665,10111.79714,
2025-07-03,德国,LYD,GAA-LY-40-B  674341622174942,美金户,凤凰&洛阳,41.99,20.69,,3.195,21.3,24.495,
