地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12,Unnamed: 13,Unnamed: 14
2025-07-02 00:00:00,https://docs.google.com/spreadsheets/d/1rzFnPsQqhNBe84OaT3Vq17tbWk7idgG54QPhucaOKvU/edit?gid=836745103#gid=836745103,65,1560,已结,,7/3 有效1个,1,160,已结,,6/30  有效1,1,80.0,已结
2025-07-03 00:00:00,https://docs.google.com/spreadsheets/d/11SXj9OfemtS8y9otcDPPz3tIJliWBsO6u5iHpcJ6dyo/edit?gid=0#gid=0,200,4800,已结,德国股票粉（3）组【张小强】,7/5 有效8个,8,1280,已结,,,,,
2025-07-04 00:00:00,https://docs.google.com/spreadsheets/d/1rzFnPsQqhNBe84OaT3Vq17tbWk7idgG54QPhucaOKvU/edit?gid=836745103#gid=836745103,341,8184,已结,,7/6 有效11,11,1760,已结,,,,,
2025-07-07 00:00:00,https://docs.google.com/spreadsheets/d/1_oEiOjEJLrBtxWsfnqrj7oTdYMF5Bw0ymBAEX-tu1LM/edit?gid=0#gid=0,131,3144,已结,,7/7 有效6.33,6.33,1012.8,已结,,,,,
2025-07-08 00:00:00,https://docs.google.com/spreadsheets/d/1VVJqaYYoOanR1Iuk1xaVpO2KOwSct2C85rnEFICRPo0/edit?gid=0#gid=0,251,6024,已结,,7/8  k33  有效2,2,320,已结,,,,,
2025-07-09 00:00:00,https://docs.google.com/spreadsheets/d/1wz9s-tAfmR-262dmkxVJfjX8-DgGO4tLcpKeFK2SjQs/edit?gid=0#gid=0,166,3984,已结,,7/9 有效9个,9,1440,已结,德国蟑螂哥渠道,7/7   有效10,10,1600.0,已结
2025-07-24 00:00:00,https://docs.google.com/spreadsheets/d/1twkmGreCHdcfLRyZ4fOacQdSbYnHJyy2-AQl7iy4TXk/edit?usp=sharing,17,408,已结,,7/10 有效4.66,4.66,745.6,已结,,7/8 有效8个,8,1280.0,已结
2025-07-25 00:00:00,https://docs.google.com/spreadsheets/d/1S5OONi0JIiQM2cuCcY-VeFNOLFrSpVnTqOm1k3oZ7Cs/edit?gid=0#gid=0,85,2040,已结,,7/11 有效2个,2,320,已结,,7/9 有效4个,4,640.0,已结
,,,,,,7/12 有效26.66,26.66,4265.6,已结,,7/10 有效9个,9,1440.0,已结
,,,,,,7/13 有效28个,28,4480,已结,,7/11   有效10,10,1600.0,已结
