2025年12月渠道、代投总支出,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,2025年12月渠道商剩余广告费,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
渠道商,总转款,已退款,未退款,最终款,备注,手续费,扣手续费后的充值,渠道商,已减去手续费的充值,总消耗,当天剩余广告费,日期
fb三不限10➕1Nancy,2780.13,,,2780.13,,430.29,,印度户印尼企业户,-5232.09,734.62,0,2025-12-19 00:00:00
B哥&谷歌充值9➕1Nancy,320,,,320,,120,,Vcc-102524 服务费1（泰华）/大鱼速汇,1207.08,11.98,207.08,2025-12-19 00:00:00
SZ_TK下户Chris Ryan,474.28,,,474.28,,64.58,,凤凰渠道-泰华,19731.2,14131.21,5599.99,2025-12-19 00:00:00
印度企业户 欧洲美金户下户,1140,,,1140,,210,,Y-5208 FB欧/美户,7312.7048,2162.03,5150.6748,2025-12-19 00:00:00
Y-5208 FB欧/美户,4382.82,,,4382.82,,1587.25,,SHEN@FLZ 2 群,3660.625,171.38,3489.245,2025-12-19 00:00:00
谷歌共享户/老户,1200,,,1200,,200,,十月二不限,355.82,276.55,79.27,2025-12-19 00:00:00
路人互动,221.12,,,221.12,,154.65,,海总-黑泽,3602.329777,201.76,3400.569777,2025-12-19 00:00:00
志诚三不限,3679.96,,,3679.96,,2718.6,,谷歌-饭团,2859.1095,1345.42,1513.6895,2025-12-19 00:00:00
路人互动系统,643.86,,,643.86,,137.31,,星链-AdNova,6703.2918,7356.73,-653.4382,2025-12-19 00:00:00
GT&papa欧,552.8399999999999,,,552.84,,192.44,,GT&SHEN 欧洲户新,314.09,0,314.09,2025-12-19 00:00:00
星链-AdNova,5629.83,,,5629.83,,805.92,,GT&papa 二不限新,-200.25,0,-200.25,2025-12-19 00:00:00
大鱼速汇,1010,,,1010,,10,,fb三不限10➕1Nancy,4136.3,0,4136.3,2025-12-19 00:00:00
VCC-新系统,4444,,,4444,,44,,海总新渠道,1488.1,0,1488.1,2025-12-19 00:00:00
谷歌-饭团,2260.2375,,,2260.2375,,223.99,,GT&海总 欧洲金融户,-38.26,0,-38.26,2025-12-19 00:00:00
风口猪11月充值广告费,4687.84,,,4687.84,,0,,志诚三不限,3231.7408,2112.41,1119.3308,2025-12-19 00:00:00
"Anthony - FKZ - 6,5%",213,,,213,,13,,SZ_TK下户,1462.76,1215.29,247.47,2025-12-19 00:00:00
Lolo - FKZ (~5% | dating),105,,,105,,5,,B哥&谷歌充值9➕1Nancy,200,3263.7,-3063.7,2025-12-19 00:00:00
十月二不限——（泰华）,396,,,396,,96,,谷歌共享户/老户,1000,3.06,996.94,2025-12-19 00:00:00
二不限企业户Makie,483,,,483,,11.78,,路人互动系统,506.55,265.51,241.04,2025-12-19 00:00:00
凤凰渠道-泰华,8226.189999999999,,,8226.19,,4914,,GT&papa欧,360.4,337.54,22.86,2025-12-19 00:00:00
风口猪12月充值广告费,2167.81,,,2167.81,,0,,VCC-新系统,4400,1083.2,3316.8,2025-12-19 00:00:00
官方授权户-15,326.33,,,326.33,消耗*15%,326.33,,"Anthony - FKZ - 6,5%",200,35.87,164.13,2025-12-19 00:00:00
启航,0,,,0,,55.56,,Lolo - FKZ (~5% | dating),100,0,100,2025-12-19 00:00:00
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,27631.93168,
,,,,,,,,,,,,
,,,,45344.2475,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,总转款,已退款,未退款,最终款,备注,手续费,,,,,,
U支出的广告配套（不含RMB支出）,5179.6729,,,5179.6729,,,,,,,,
后勤支出,25910.27,,,25910.27,,,,,,,,
流苏,54600,,,,,,,,,,,
岳总,23250,,,23250,,,,,,,,
渠道106-本土fb🇯🇵,29160,,,29160,,,,,,,,
华侨粉测试 ,2200,,,2200,,,,,,,,
印度资金测试,12405,,,12405,,,,,,,,
,,,,,,,,,,,,
,,,,98104.9429,,,,,,,,
,,,,,,,,,,,,
,,,,,更新日期：,2025-12-19 00:00:00,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
2025年12月甲方总收入,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
地区,项目,总转款,备注,,,,,,,,,
新加坡、加拿大,海总-新加坡、加拿大,48000,,,,,,,,,,
新加坡,F2新加坡,20900,,,,,,,,,,
印度,印度资金测试,20000,,,,,,,,,,
华侨,华侨老头粉,2200,,,,,,,,,,
日本,渠道106-不土FB🇯🇵,90000,,,,,,,,,,
加拿大,F2加拿大TK,3900,,,,,,,,,,
巴西,巴西1期,3200,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
代理商退款,路人互动,1448.89,,,,,,,,,,
代理商退款,谷歌共享户/老户,998,,,,,,,,,,
代理商退款,启航,2067.02,,,,,,,,,,
代理商退款,华侨粉测试 ,355.971,,,,,,,,,,
代理商退款,印度企业户 欧洲美金户下户,990.25,,,,,,,,,,
,11月结余,26016.5,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,220076.631,,,,,,,,,,
