地区,项目（每次开始都填）,群表格链接,消耗,进粉,单粉成本,打款,单粉价格,应收,未收,剩余,备注,Unnamed: 12
印度,白马5期,https://docs.google.com/spreadsheets/d/12xulJMefwV8GYNZLPawfyQMtcjWPiOJb4iqsD6MnL1g/edit?usp=drivesdk,94932.61,3892,24.39172919,120000.0,28/31/35,120022,-22.0,0,白马4-5期总转款120000，白马4期总有效390，白马4期谷歌总有效135，白马5期总有效3367，120000-390*28-135*35-3367*31=-22,/
印度,K26/印度股票/B哥,https://docs.google.com/spreadsheets/d/19eBZ4ULwqesd7IAQClqsYw4uSttBIYu-jcuHLNsP9DI/edit?gid=0#gid=0,112429.21,4652,24.16792992,130000.0,31,144212,-14212.0,0,K26总转款130000，总有效4652，130000-4652*31=  -14212,10/19 已结清
比利时,海总-比利时单导测试,https://docs.google.com/spreadsheets/d/1yKy_oBcyVUZZTy494E1yRIOTqaUqrIy7AY4le3sfPhY/edit?usp=drivesdk,735.47,0,#DIV/0!,2800.0,140,0,0.0,2800,10/24 已退2800,
印度,新K1/B哥,https://docs.google.com/spreadsheets/d/1wpFGK7iRaGskumBsTJQUj8GQd1Qi5fLMzP6SAyIhoE8/edit?gid=0#gid=0,85223.17,5274,16.15911452,170000.0,31,163494,0.0,6506,"新K1总转款170000，总有效5274，170000-5274*31=6,506",10/21 已退
印度,新K4/B哥,https://docs.google.com/spreadsheets/d/16p3XUj5Vo9TfIqhe5G9mNPyj3nxjUKiu2ACSBmHj_nU/edit?usp=drivesdk,112946.48,4357,25.92299289,132106.0,31,135067,-2961.0,0,新K4总转款132106，总有效4357，132106-4357*31=  -2961,10/31 已结算
韩国,韩国维权粉测试,无,1677.21,0,#DIV/0!,2200.0,,,,,服务费10%,
印度,印度20期,https://docs.google.com/spreadsheets/d/1DX25VgN9TxJdGwAV3g2rGAqLXpDiX8Ol2__ext-sYoc/edit?gid=0#gid=0,53709.49,2859,18.78611053,90000.0,31,88629,0.0,1371,"印度20期总转款90000，总有效2859，90000-2859*31=1,371",10/31 已退
德国,德国单粉—summer FB180,无,20072.02,130,154.4001538,45000.0,180,23400,0.0,21600,10月预付剩余21600,
马来,B哥/马来英语粉,无,14613.65,184,79.42201087,52115.0,95,17480,0.0,34635,"10月预付剩余34,635",
,,,,,,,,,,,,
,甲方,人数,单价,总打款,剩余广告费,,,,,,,
,渠道106-本土fb🇯🇵,165,180,41760,12060,67.0,渠道106-本土fb🇯🇵,剩余广告费,12060.0,,,
,B哥/马来英语粉,175,100,52115,33355,333.55,B哥/马来英语粉,剩余广告费,33355.0,,,
,德国单粉—summer FB180,130,180,45000,21600,120.0,德国单粉—summer FB180,剩余广告费,21600.0,,,
,,,,,,,,,,,,
马来英语粉,10/6 有效5,5,,德国单粉—summer FB180,10/24  有效16,16.0,渠道106-本土fb🇯🇵,10/28  有效32,32.0,,,
,10/7  有效1,1,,,10/26  有效45,45.0,,10/29  有效44,44.0,,,
,10/8 有效3,3,,,10/27  有效47,47.0,         ,10/30  有效45,45.0,,,
,10/9  有效3,3,,,10/28 有效10,10.0,,10/31  有效44,44.0,,,
,10/10  有效8,8,,,10/29 有效7,7.0,,,,日本 FB人设,剩余广告费,10760
,10/11  有效6,6,,,10/30 有效1,1.0,,,,渠道BF 德国F,剩余广告费,4320
,10/12  有效21,21,,,10/31  有效4,4.0,,,,渠道BF 新加坡L,剩余广告费,2700
,"10/13  
FB有效22
谷歌有效2",22,谷歌有效2,,,,,,,,合计,17780
,10/14 有效9,9,,,,,,,,,,
,10/14  6402有效4,4,,,,,,,,,,
,"10/16
FB有效8
谷歌有效1",8,谷歌有效1,,,,,,,,,
,"10/17
FB有效8
谷歌有效6",8,谷歌有效6,,,,,,,,,
,10/19  有效7,7,,,,,,,,,,
,10/20 FB有效3,3,,,,,,,,,,
,10/21  有效3,3,,,,,,,,,,
,10/22  FB有效5,5,,,,,,,,,,
,10/24  有效4,4,,,,,,,,,,
,10/27   有效2,2,,,,,,,,,,
,10/28  有效11,11,,,,,,,,,,
,10/29 有效8,8,,,,,,,,,,
,10/30  有效15,15,,,,,,,,,,
,10/31  有效19,19,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,未结,,,,,,,,
,,,,未结,,,,,,,,
,,,,未结,,,,,,,,
,,,,未结,,,,,,,,
